Unnamed: 0,T2M,ALLSKY_SFC_SW_DWN,ALLSKY_SRF_ALB,SZA,real_index,beta,azimuth,DNI,DHI,poa_global_1,T_t,P_eta
2022-06-04 14:00:00+08:00,27.14,628.3,0.1,35.02,63,40.0,239.9367556318789,329.817927772981,358.19502148861227,627.3746788785538,46.74545871495481,0.3952332636406632
2022-06-04 15:00:00+08:00,27.63,573.95,0.09,46.02,63,40.0,255.91370837638942,493.1226795712351,231.52204544492463,562.5396170235716,45.20936303198661,0.35717094508072095
2022-06-04 16:00:00+08:00,27.41,425.5,0.08,57.35,63,40.0,267.3791877414657,468.2131390501479,172.89631543121465,381.9318000823133,39.34536875257229,0.2497100329737626
2022-06-04 17:00:00+08:00,26.37,249.97,0.06,68.61,63,40.0,276.959024219037,346.09863399846006,123.74288627782651,188.8565894012626,32.271768418789456,0.12777751772927118
2022-06-04 18:00:00+08:00,23.58,91.91,0.16,79.52,63,40.0,285.91775266887066,149.5467399733769,64.70860045294472,60.01227676632638,25.4553836489477,0.041920595613595325
2022-06-04 19:00:00+08:00,21.01,8.66,0.12,88.66,63,40.0,295.00967956998903,0.0,8.66,7.768535746060554,21.252766742064395,0.005531710882194568
2022-06-04 20:00:00+08:00,19.83,0.0,-999.0,-999.0,63,40.0,304.79760135066573,0.0,0.0,0.0,19.83,0.0
2022-06-04 21:00:00+08:00,17.03,0.0,-999.0,-999.0,63,40.0,315.7557742167879,0.0,0.0,0.0,17.03,0.0
2022-06-04 22:00:00+08:00,15.18,0.0,-999.0,-999.0,63,40.0,328.236800032396,0.0,0.0,0.0,15.18,0.0
2022-06-04 23:00:00+08:00,13.83,0.0,-999.0,-999.0,63,40.0,342.3050560577075,0.0,0.0,0.0,13.83,0.0
2022-06-05 00:00:00+08:00,12.03,0.0,-999.0,-999.0,63,40.0,357.5132657647639,0.0,0.0,0.0,12.03,0.0
2022-06-05 01:00:00+08:00,10.91,0.0,-999.0,-999.0,63,40.0,12.898004429989896,0.0,0.0,0.0,10.91,0.0
2022-06-05 02:00:00+08:00,10.04,0.0,-999.0,-999.0,63,40.0,27.404084380104337,0.0,0.0,0.0,10.04,0.0
2022-06-05 03:00:00+08:00,9.24,0.0,-999.0,-999.0,63,40.0,40.40039322442044,0.0,0.0,0.0,9.24,0.0
2022-06-05 04:00:00+08:00,8.55,0.0,-999.0,-999.0,63,40.0,51.80944508950449,0.0,0.0,0.0,8.55,0.0
2022-06-05 05:00:00+08:00,10.59,87.7,0.17,82.14,63,40.0,61.9156970275036,197.50857783313566,60.69010816334766,56.452044606769036,12.354126393961533,0.04181514228003518
2022-06-05 06:00:00+08:00,14.12,270.89,0.12,71.67,63,40.0,71.16388760723737,728.1222526424611,41.90317431340404,74.28347382991964,16.441358557184987,0.05404559696973494
2022-06-05 07:00:00+08:00,18.64,474.62,0.13,60.48,63,40.0,80.08298798192538,864.0073780874546,48.89994151685886,297.30906741155894,27.93090835661122,0.20531048545893474
2022-06-05 08:00:00+08:00,23.03,670.39,0.13,49.12,63,40.0,89.34306821569123,924.9482850413243,65.03268488780748,534.7556097171426,39.74111280366071,0.3489460120979568
2022-06-05 09:00:00+08:00,25.41,822.71,0.13,37.97,63,40.0,99.98575199134984,933.951475601627,86.44522655802393,728.1881637237185,48.1658801163662,0.4554131491630057
2022-06-05 10:00:00+08:00,26.99,934.96,0.14,27.68,63,40.0,114.04926797609289,928.6928081118879,112.55066736716549,868.157045872947,54.11990768352959,0.5263062293524473
2022-06-05 11:00:00+08:00,28.13,976.91,0.14,20.05,63,40.0,136.10315208494444,885.4924081688577,145.0839270125823,931.0024627839636,57.22382696199886,0.5551002354653108
2022-06-05 12:00:00+08:00,28.85,961.34,0.16,18.88,63,40.0,172.90818729215528,793.5509493340074,210.48338546986497,955.3150241568198,58.70359450490062,0.5650444052702149
2022-06-05 13:00:00+08:00,28.97,827.59,0.16,25.12,63,40.0,213.76723053736575,563.847281513801,317.07101641845634,840.0226154390416,55.22070673247005,0.5062726625136901
2022-06-05 14:00:00+08:00,28.09,676.21,0.15,34.91,63,40.0,240.0409494792193,448.56116209183136,308.3665196212195,684.4653603989373,49.47954251246679,0.4251733678592627
2022-06-05 15:00:00+08:00,26.56,544.02,0.15,45.92,63,40.0,256.01426289159167,358.5770172861596,294.5715660157655,537.2316566049269,43.34848926890396,0.344321366122107
2022-06-05 16:00:00+08:00,25.28,277.83,0.15,57.26,63,40.0,267.4669405329557,74.76949555212505,237.3925876246643,256.06015683885994,33.281879901214374,0.17241358630531167
2022-06-05 17:00:00+08:00,23.93,166.45,0.15,68.52,63,40.0,277.0348849379249,46.466118344739606,149.43520278924902,146.4223851198149,28.505699534994214,0.10084280208635459
2022-06-05 18:00:00+08:00,22.08,53.7,0.15,79.41,63,40.0,285.9832900964093,0.0,53.7,48.36054930308288,23.591267165721337,0.03407175375383017
2022-06-05 19:00:00+08:00,19.37,8.57,0.11,88.6,63,40.0,295.06537451671073,0.0,8.57,7.677775390500691,19.609930480953146,0.0055076984261531745
2022-06-05 20:00:00+08:00,17.38,0.0,-999.0,-999.0,63,40.0,304.8423305123822,0.0,0.0,0.0,17.38,0.0
2022-06-05 21:00:00+08:00,15.24,0.0,-999.0,-999.0,63,40.0,315.7864502751496,0.0,0.0,0.0,15.24,0.0
2022-06-05 22:00:00+08:00,13.45,0.0,-999.0,-999.0,63,40.0,328.2483742212816,0.0,0.0,0.0,13.45,0.0
2022-06-05 23:00:00+08:00,12.26,0.0,-999.0,-999.0,63,40.0,342.2918088318407,0.0,0.0,0.0,12.26,0.0
2022-06-06 00:00:00+08:00,11.26,0.0,-999.0,-999.0,63,40.0,357.47203537166695,0.0,0.0,0.0,11.26,0.0
2022-06-06 01:00:00+08:00,10.49,0.0,-999.0,-999.0,63,40.0,12.831259197117333,0.0,0.0,0.0,10.49,0.0
2022-06-06 02:00:00+08:00,9.94,0.0,-999.0,-999.0,63,40.0,27.318934578438757,0.0,0.0,0.0,9.94,0.0
2022-06-06 03:00:00+08:00,9.44,0.0,-999.0,-999.0,63,40.0,40.304288411710274,0.0,0.0,0.0,9.44,0.0
2022-06-06 04:00:00+08:00,8.9,0.0,-999.0,-999.0,63,40.0,51.70709997486779,0.0,0.0,0.0,8.9,0.0
2022-06-06 05:00:00+08:00,10.19,78.2,0.17,82.09,63,40.0,61.80862417248352,128.8237622474561,60.47160614594884,55.81173309375961,11.934116659179987,0.04141633245719131
2022-06-06 06:00:00+08:00,12.73,236.14,0.16,71.64,63,40.0,71.05100077466,510.5329347914664,75.32900770062727,95.47532008871906,15.713603752772471,0.06968764578854596
2022-06-06 07:00:00+08:00,15.22,362.82,0.15,60.45,63,40.0,79.96099289571146,343.5177528870521,193.40291804014294,284.83881378767194,24.12121293086475,0.20019317643699938
2022-06-06 08:00:00+08:00,17.52,448.2,0.15,49.1,63,40.0,89.20617392693845,238.46071085509013,292.070040135123,405.75370417875234,30.199803255586012,0.2772339099542323
2022-06-06 09:00:00+08:00,19.6,444.73,0.16,37.94,63,40.0,99.82460207221368,106.32647904521775,360.8750863514189,414.31102711215,32.54721959725469,0.27994911288226687
2022-06-06 10:00:00+08:00,21.4,465.52,0.16,27.62,63,40.0,113.85039958769295,70.52644871570392,403.0306181206451,430.2619279085344,34.8456852471417,0.2875427098144032
2022-06-06 11:00:00+08:00,22.62,508.86,0.16,19.97,63,40.0,135.86475753580044,65.57989951520337,447.2233166661198,468.359060251478,37.256220632858685,0.3093675376073883
2022-06-06 12:00:00+08:00,23.26,540.03,0.16,18.77,63,40.0,172.7432900692072,104.56165073411962,441.0291607494637,505.81820340964265,39.066818856551336,0.3311616275924447
2022-06-06 13:00:00+08:00,23.52,580.73,0.15,25.01,63,40.0,213.79936268615262,158.2224296791874,437.343452695137,559.5106917811848,41.004709118162026,0.3628230093439499
2022-06-06 14:00:00+08:00,23.32,540.49,0.13,34.81,63,40.0,240.13471895416154,185.93709857670115,387.8264217603752,529.0046356993812,39.85139486560566,0.345005454317333
2022-06-06 15:00:00+08:00,22.76,425.88,0.12,45.83,63,40.0,256.10602684727104,137.94371935899505,329.76224630429067,408.8926898904047,35.53789655907515,0.2723503251624401
